season,league_id,team,poule,rank,points,won,team_url,poule_url,standings_url
PBO Competitie 2007-2008,8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A,LANDEGEM 1G,Gemengd - 3e provinciale C gemengd,1,23,True,https://www.toernooi.nl/sport/team.aspx?id=8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A&team=116,https://www.toernooi.nl/sport/draw.aspx?id=8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A&draw=16,https://www.toernooi.nl/sport/clubstandings.aspx?id=8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A&cid=99
PBO Competitie 2007-2008,8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A,LANDEGEM 1H,Heren - 3e provinciale B heren,1,21,True,https://www.toernooi.nl/sport/team.aspx?id=8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A&team=33,https://www.toernooi.nl/sport/draw.aspx?id=8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A&draw=5,https://www.toernooi.nl/sport/clubstandings.aspx?id=8D9B6019-A4A5-4667-82F7-CAA9F84ECF4A&cid=99
PBO jeugdcompetitie 2009-2010,89840EED-55BF-49F3-A0D8-222577FEC4BA,Landegem J2,MEISJES - ME -17,1,9,True,https://www.toernooi.nl/sport/team.aspx?id=89840EED-55BF-49F3-A0D8-222577FEC4BA&team=29,https://www.toernooi.nl/sport/draw.aspx?id=89840EED-55BF-49F3-A0D8-222577FEC4BA&draw=5,https://www.toernooi.nl/sport/clubstandings.aspx?id=89840EED-55BF-49F3-A0D8-222577FEC4BA&cid=3
PBO competitie 2010-2011,8DD792DD-D9CC-401E-969F-E62E17230FE8,LANDEGEM 2H,Heren - 4e Provinciale D,1,20,True,https://www.toernooi.nl/sport/team.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&team=59,https://www.toernooi.nl/sport/draw.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&draw=25,https://www.toernooi.nl/sport/clubstandings.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&cid=20
PBO competitie 2010-2011,8DD792DD-D9CC-401E-969F-E62E17230FE8,LANDEGEM 1D,Dames - 2e Provinciale A,1,26,True,https://www.toernooi.nl/sport/team.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&team=55,https://www.toernooi.nl/sport/draw.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&draw=15,https://www.toernooi.nl/sport/clubstandings.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&cid=20
PBO competitie 2010-2011,8DD792DD-D9CC-401E-969F-E62E17230FE8,LANDEGEM 1G,Gemengd - 3e Provinciale B,1,23,True,https://www.toernooi.nl/sport/team.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&team=56,https://www.toernooi.nl/sport/draw.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&draw=20,https://www.toernooi.nl/sport/clubstandings.aspx?id=8DD792DD-D9CC-401E-969F-E62E17230FE8&cid=20
PBO Competitie 2013-2014,051544C0-046F-41CB-9384-EE374E626890,Landegem 3H,Heren Competitie - 5e Provinciale A,1,27,True,https://www.toernooi.nl/sport/team.aspx?id=051544C0-046F-41CB-9384-EE374E626890&team=11,https://www.toernooi.nl/sport/draw.aspx?id=051544C0-046F-41CB-9384-EE374E626890&draw=12,https://www.toernooi.nl/sport/clubstandings.aspx?id=051544C0-046F-41CB-9384-EE374E626890&cid=2
PBO Competitie 2014-2015,EF6D253B-4410-4B4F-883D-48A61DDA350D,Landegem 3G,Gemengde Competitie - 4e provinciale C,1,22,True,https://www.toernooi.nl/sport/team.aspx?id=EF6D253B-4410-4B4F-883D-48A61DDA350D&team=120,https://www.toernooi.nl/sport/draw.aspx?id=EF6D253B-4410-4B4F-883D-48A61DDA350D&draw=23,https://www.toernooi.nl/sport/clubstandings.aspx?id=EF6D253B-4410-4B4F-883D-48A61DDA350D&cid=21
PBO Competitie 2014-2015,EF6D253B-4410-4B4F-883D-48A61DDA350D,Landegem 1H,Heren Competitie - 3e provinciale A,1,23,True,https://www.toernooi.nl/sport/team.aspx?id=EF6D253B-4410-4B4F-883D-48A61DDA350D&team=116,https://www.toernooi.nl/sport/draw.aspx?id=EF6D253B-4410-4B4F-883D-48A61DDA350D&draw=4,https://www.toernooi.nl/sport/clubstandings.aspx?id=EF6D253B-4410-4B4F-883D-48A61DDA350D&cid=21
PBO Competitie 2015-2016,2360CDE9-4A6F-4E50-BF49-E11F8B1D0772,Landegem 1G,Gemengde Competitie – 2e Provinciale – 2e Provinciale B,1,27,True,https://www.toernooi.nl/sport/team.aspx?id=2360CDE9-4A6F-4E50-BF49-E11F8B1D0772&team=145,https://www.toernooi.nl/sport/draw.aspx?id=2360CDE9-4A6F-4E50-BF49-E11F8B1D0772&draw=19,https://www.toernooi.nl/sport/clubstandings.aspx?id=2360CDE9-4A6F-4E50-BF49-E11F8B1D0772&cid=27
